Transaction_ID,Date,Customer_ID,Product_Name,Category,Quantity,Unit_Price,Region,Customer_Segment,Payment_Method,Total_Revenue
TX-10485,2025-03-14,CUST-0087,Noise-Cancelling Headphones,Electronics,2,250.0,South,Consumer,PayPal,500.0
TX-13938,2024-05-30,CUST-0349,Pro Laptop,Electronics,3,1200.0,East,Corporate,Cash,3600.0
TX-11174,2024-12-07,CUST-0116,Ergonomic Chair,Office Supplies,1,299.99,West,Small Business,Cash,299.99
TX-11362,2025-02-16,CUST-0142,Laptop Sleeve,Accessories,4,28.19,South,Consumer,Cash,112.76
TX-14684,2025-02-24,CUST-0364,Premium Tablet,Electronics,4,600.0,South,Small Business,Credit Card,2400.0
TX-13886,2024-05-25,CUST-0238,Smartwatch,Electronics,3,180.0,West,Small Business,PayPal,540.0
TX-12575,2025-11-27,CUST-0348,Ergonomic Chair,Office Supplies,1,242.99,West,Small Business,Cash,242.99
TX-14272,2024-09-06,CUST-0077,4K Monitor,Electronics,4,350.0,South,Consumer,Cash,1400.0
TX-10029,2025-05-14,CUST-0278,4K Monitor,Electronics,1,350.0,East,Consumer,PayPal,350.0
TX-12698,2025-11-05,CUST-0073,Desk Mat,Accessories,2,23.0,East,Small Business,PayPal,46.0
TX-14232,2025-04-13,CUST-0337,Noise-Cancelling Headphones,Electronics,3,250.0,South,Small Business,Cash,750.0
TX-14005,2025-12-02,CUST-0216,Wireless Mouse,Accessories,7,49.99,North,Corporate,Credit Card,349.93
TX-11305,2024-04-16,CUST-0046,Wireless Mouse,Accessories,4,49.99,East,Consumer,Credit Card,199.96
TX-10530,2025-08-11,CUST-0129,Desk Mat,Accessories,4,25.0,West,Consumer,Cash,100.0
TX-11684,2024-09-22,CUST-0300,USB-C Multi-Hub,Accessories,4,39.99,East,Small Business,PayPal,159.96
TX-10240,2025-07-22,CUST-0263,Ergonomic Chair,Office Supplies,1,299.99,West,Consumer,Credit Card,299.99
TX-14284,2024-07-31,CUST-0096,Mechanical Keyboard,Accessories,3,99.99,North,Corporate,PayPal,299.96999999999997
TX-12672,2025-05-11,CUST-0019,Mechanical Keyboard,Accessories,2,79.99,West,Consumer,Bank Transfer,159.98
TX-12088,2025-08-17,CUST-0344,Premium Tablet,Electronics,2,600.0,South,Corporate,PayPal,1200.0
TX-10157,2025-07-29,CUST-0100,Whiteboard,Office Supplies,3,79.99,North,Small Business,Credit Card,239.96999999999997
TX-10691,2025-11-12,CUST-0167,Gel Pens 12-Pack,Office Supplies,3,12.99,North,Small Business,Credit Card,38.97
TX-10297,2025-03-15,CUST-0072,Noise-Cancelling Headphones,Electronics,1,250.0,North,Small Business,PayPal,250.0
TX-12440,2025-07-17,CUST-0329,Premium Tablet,Electronics,3,600.0,East,Consumer,Bank Transfer,1800.0
TX-12990,2024-10-02,CUST-0047,4K Monitor,Electronics,1,350.0,South,Small Business,Cash,350.0
TX-13479,2025-11-01,CUST-0245,Gel Pens 12-Pack,Office Supplies,7,12.99,West,Corporate,Bank Transfer,90.93
TX-11952,2025-06-17,CUST-0148,Ergonomic Chair,Office Supplies,4,299.99,South,Small Business,Credit Card,1199.96
TX-13187,2025-09-15,CUST-0319,Premium Tablet,Electronics,2,504.0,North,Consumer,Credit Card,1008.0
TX-14892,2025-09-09,CUST-0223,Pro Laptop,Electronics,8,1200.0,South,Corporate,Credit Card,9600.0
TX-10023,2025-07-19,CUST-0194,Premium Notebook,Office Supplies,2,15.5,South,Small Business,PayPal,31.0
TX-14915,2024-07-04,CUST-0003,Laptop Sleeve,Accessories,2,29.99,South,Consumer,Credit Card,59.98
TX-13350,2025-08-15,CUST-0325,Smartwatch,Electronics,6,200.0,South,Corporate,Bank Transfer,1200.0
TX-13758,2025-01-29,CUST-0097,Standing Desk,Office Supplies,2,450.0,North,Small Business,Bank Transfer,900.0
TX-12509,2024-06-09,CUST-0005,Premium Tablet,Electronics,3,552.0,North,Small Business,Credit Card,1656.0
TX-14279,2024-02-12,CUST-0391,Mechanical Keyboard,Accessories,3,99.99,West,Consumer,Bank Transfer,299.96999999999997
TX-13662,2024-04-06,CUST-0112,4K Monitor,Electronics,5,350.0,West,Corporate,Credit Card,1750.0
TX-12034,2025-12-06,CUST-0174,Mechanical Keyboard,Accessories,4,99.99,South,Small Business,Cash,399.96
TX-14204,2025-12-12,CUST-0176,Noise-Cancelling Headphones,Electronics,4,250.0,East,Small Business,PayPal,1000.0
TX-11095,2025-09-26,CUST-0041,Premium Tablet,Electronics,3,600.0,East,Small Business,Cash,1800.0
TX-12867,2025-10-04,CUST-0254,Smartwatch,Electronics,4,200.0,North,Consumer,Credit Card,800.0
TX-10228,2025-04-15,CUST-0290,Premium Tablet,Electronics,6,600.0,West,Corporate,Credit Card,3600.0
TX-10239,2024-11-11,CUST-0390,Ergonomic Chair,Office Supplies,2,263.99,South,Small Business,Credit Card,527.98
TX-13017,2025-03-30,CUST-0210,Ergonomic Chair,Office Supplies,6,299.99,South,Corporate,Bank Transfer,1799.94
TX-13982,2024-09-09,CUST-0011,Standing Desk,Office Supplies,3,450.0,West,Consumer,Bank Transfer,1350.0
TX-14159,2024-05-29,CUST-0263,Whiteboard,Office Supplies,4,79.99,West,Consumer,Credit Card,319.96
TX-10179,2024-06-28,CUST-0214,Pro Laptop,Electronics,4,1008.0,West,Small Business,Cash,4032.0
TX-13997,2024-01-01,CUST-0235,Ergonomic Chair,Office Supplies,3,299.99,East,Small Business,Credit Card,899.97
TX-12404,2024-03-09,CUST-0054,Premium Tablet,Electronics,3,486.0,West,Small Business,Credit Card,1458.0
TX-12860,2024-02-10,CUST-0061,4K Monitor,Electronics,4,350.0,West,Small Business,Bank Transfer,1400.0
TX-11718,2024-10-29,CUST-0158,Gel Pens 12-Pack,Office Supplies,10,12.99,North,Corporate,Credit Card,129.9
TX-14280,2025-02-24,CUST-0267,Mechanical Keyboard,Accessories,4,99.99,West,Consumer,Cash,399.96
TX-11770,2024-07-07,CUST-0103,Noise-Cancelling Headphones,Electronics,1,250.0,East,Consumer,Bank Transfer,250.0
TX-12104,2025-12-07,CUST-0175,Smartwatch,Electronics,2,180.0,East,Consumer,PayPal,360.0
TX-14662,2024-07-17,CUST-0393,Mechanical Keyboard,Accessories,9,99.99,East,Corporate,Cash,899.91
TX-14924,2024-12-01,CUST-0320,Desk Mat,Accessories,3,25.0,South,Consumer,Credit Card,75.0
TX-10711,2025-07-13,CUST-0018,4K Monitor,Electronics,3,308.0,North,Consumer,Bank Transfer,924.0
TX-12133,2025-07-13,CUST-0390,Gel Pens 12-Pack,Office Supplies,2,12.99,South,Small Business,Bank Transfer,25.98
TX-12957,2024-02-29,CUST-0378,Whiteboard,Office Supplies,4,79.99,North,Small Business,Cash,319.96
TX-10333,2025-10-23,CUST-0066,Noise-Cancelling Headphones,Electronics,1,250.0,North,Small Business,Credit Card,250.0
TX-10896,2024-08-29,CUST-0317,Standing Desk,Office Supplies,3,396.0,South,Small Business,Cash,1188.0
TX-14153,2024-04-21,CUST-0338,Premium Tablet,Electronics,1,600.0,East,Consumer,PayPal,600.0
TX-14283,2024-10-31,CUST-0143,USB-C Multi-Hub,Accessories,4,39.99,North,Consumer,Cash,159.96
TX-13815,2024-09-24,CUST-0140,Ergonomic Chair,Office Supplies,3,299.99,North,Small Business,PayPal,899.97
TX-12395,2025-10-28,CUST-0070,Whiteboard,Office Supplies,6,64.79,East,Corporate,PayPal,388.74
TX-13992,2024-08-16,CUST-0374,USB-C Multi-Hub,Accessories,6,39.99,West,Corporate,Credit Card,239.94
TX-13595,2024-09-11,CUST-0224,USB-C Multi-Hub,Accessories,2,39.99,North,Small Business,Credit Card,79.98
TX-13038,2024-06-26,CUST-0102,Desk Mat,Accessories,3,25.0,North,Consumer,Credit Card,75.0
TX-14326,2025-05-22,CUST-0233,Standing Desk,Office Supplies,7,423.0,West,Corporate,Cash,2961.0
TX-10705,2025-02-19,CUST-0196,Whiteboard,Office Supplies,2,79.99,West,Small Business,PayPal,159.98
TX-11374,2025-04-14,CUST-0007,Premium Notebook,Office Supplies,3,13.17,North,Consumer,Cash,39.51
TX-12309,2024-05-28,CUST-0204,Premium Tablet,Electronics,4,600.0,North,Corporate,Credit Card,2400.0
TX-13963,2025-12-16,CUST-0117,Gel Pens 12-Pack,Office Supplies,2,12.99,East,Consumer,Bank Transfer,25.98
TX-14418,2025-12-08,CUST-0251,Laptop Sleeve,Accessories,2,29.99,South,Small Business,Cash,59.98
TX-12881,2024-08-15,CUST-0177,Ergonomic Chair,Office Supplies,2,257.99,West,Corporate,Bank Transfer,515.98
TX-11533,2025-08-31,CUST-0180,Laptop Sleeve,Accessories,2,29.99,North,Consumer,Bank Transfer,59.98
TX-13245,2025-01-25,CUST-0175,USB-C Multi-Hub,Accessories,4,39.99,East,Consumer,Credit Card,159.96
TX-12649,2024-10-14,CUST-0299,Premium Tablet,Electronics,3,600.0,North,Corporate,Cash,1800.0
TX-13065,2024-08-31,CUST-0155,Laptop Sleeve,Accessories,1,29.99,South,Small Business,Credit Card,29.99
TX-10829,2024-10-11,CUST-0179,Standing Desk,Office Supplies,10,450.0,West,Corporate,PayPal,4500.0
TX-13574,2024-12-27,CUST-0141,Smartwatch,Electronics,3,200.0,West,Small Business,PayPal,600.0
TX-11451,2024-10-07,CUST-0395,USB-C Multi-Hub,Accessories,3,36.39,East,Consumer,Cash,109.17
TX-13803,2024-03-24,CUST-0166,Premium Notebook,Office Supplies,2,15.5,East,Small Business,Cash,31.0
TX-12236,2024-12-04,CUST-0310,Mechanical Keyboard,Accessories,10,99.99,South,Corporate,Cash,999.9
TX-14897,2024-06-07,CUST-0236,Laptop Sleeve,Accessories,3,29.99,South,Consumer,PayPal,89.97
TX-10279,2024-06-21,CUST-0166,USB-C Multi-Hub,Accessories,3,39.99,East,Small Business,Bank Transfer,119.97
TX-13499,2024-10-12,CUST-0251,Pro Laptop,Electronics,3,1200.0,South,Small Business,Cash,3600.0
TX-11617,2025-11-11,CUST-0325,USB-C Multi-Hub,Accessories,10,39.99,South,Corporate,Cash,399.90000000000003
TX-11859,2024-06-11,CUST-0156,USB-C Multi-Hub,Accessories,5,39.99,East,Corporate,PayPal,199.95000000000002
TX-14890,2025-01-23,CUST-0011,Wireless Mouse,Accessories,2,40.99,West,Consumer,Credit Card,81.98
TX-12254,2025-08-26,CUST-0114,Mechanical Keyboard,Accessories,3,81.99,North,Small Business,Bank Transfer,245.96999999999997
TX-10893,2025-05-21,CUST-0061,Premium Tablet,Electronics,2,600.0,West,Small Business,Bank Transfer,1200.0
TX-12638,2025-08-22,CUST-0068,Pro Laptop,Electronics,2,1092.0,East,Small Business,Credit Card,2184.0
TX-10655,2025-07-10,CUST-UNKNOWN,Desk Mat,Accessories,2,25.0,South,Consumer,PayPal,50.0
TX-14687,2024-05-09,CUST-0309,4K Monitor,Electronics,6,350.0,West,Corporate,Bank Transfer,2100.0
TX-14614,2025-09-06,CUST-0085,Noise-Cancelling Headphones,Electronics,4,250.0,North,Consumer,Bank Transfer,1000.0
TX-10228,2025-04-15,CUST-0290,Premium Tablet,Electronics,3,600.0,West,Corporate,Credit Card,1800.0
TX-14618,2025-06-28,CUST-0020,Desk Mat,Accessories,10,25.0,East,Corporate,PayPal,250.0
TX-11129,2024-09-11,CUST-0189,Whiteboard,Office Supplies,9,79.99,South,Corporate,Cash,719.91
TX-12073,2025-02-25,CUST-0039,USB-C Multi-Hub,Accessories,1,39.99,South,Consumer,Cash,39.99
TX-14347,2024-04-23,CUST-0384,Premium Notebook,Office Supplies,3,15.5,South,Corporate,Bank Transfer,46.5
TX-10491,2024-08-16,CUST-0396,USB-C Multi-Hub,Accessories,4,39.99,North,Corporate,Cash,159.96
TX-11732,2025-12-09,CUST-0250,Standing Desk,Office Supplies,1,450.0,South,Consumer,Credit Card,450.0
TX-11215,2025-01-05,CUST-0302,Laptop Sleeve,Accessories,7,29.99,South,Corporate,PayPal,209.92999999999998
TX-12834,2025-10-30,CUST-0399,Pro Laptop,Electronics,3,1200.0,West,Consumer,PayPal,3600.0
TX-11268,2025-07-08,CUST-0055,Premium Tablet,Electronics,2,552.0,West,Corporate,Bank Transfer,1104.0
TX-14791,2024-08-29,CUST-0149,4K Monitor,Electronics,3,350.0,North,Small Business,Credit Card,1050.0
TX-11534,2024-07-16,CUST-0141,Gel Pens 12-Pack,Office Supplies,3,12.99,West,Small Business,Bank Transfer,38.97
TX-14688,2025-11-01,CUST-0298,Premium Notebook,Office Supplies,2,15.5,West,Corporate,Bank Transfer,31.0
TX-14984,2024-12-02,CUST-0204,Whiteboard,Office Supplies,8,79.99,North,Corporate,PayPal,639.92
TX-14305,2025-11-30,CUST-0047,Noise-Cancelling Headphones,Electronics,3,250.0,South,Small Business,Credit Card,750.0
TX-10653,2025-04-01,CUST-0148,Mechanical Keyboard,Accessories,1,99.99,South,Small Business,PayPal,99.99
TX-10994,2025-05-31,CUST-0059,Ergonomic Chair,Office Supplies,3,299.99,South,Small Business,Cash,899.97
TX-11018,2024-03-05,CUST-0321,Wireless Mouse,Accessories,1,49.99,North,Small Business,Cash,49.99
TX-14590,2024-02-24,CUST-0389,USB-C Multi-Hub,Accessories,1,39.99,East,Small Business,Credit Card,39.99
TX-10555,2024-10-25,CUST-0310,Desk Mat,Accessories,6,25.0,South,Corporate,Cash,150.0
TX-10008,2024-10-05,CUST-0042,Wireless Mouse,Accessories,4,49.99,South,Small Business,Bank Transfer,199.96
TX-11090,2025-02-24,CUST-0155,Desk Mat,Accessories,1,25.0,South,Small Business,PayPal,25.0
TX-13475,2024-10-25,CUST-0244,Whiteboard,Office Supplies,2,79.99,East,Corporate,Credit Card,159.98
TX-13321,2025-03-10,CUST-0128,4K Monitor,Electronics,4,325.5,West,Corporate,PayPal,1302.0
TX-14226,2025-04-07,CUST-0384,Premium Notebook,Office Supplies,4,13.17,South,Corporate,Bank Transfer,52.68
TX-13043,2025-06-01,CUST-0268,Premium Notebook,Office Supplies,2,13.02,West,Small Business,Cash,26.04
TX-11371,2025-04-28,CUST-0057,Pro Laptop,Electronics,3,1200.0,West,Consumer,PayPal,3600.0
TX-10144,2025-07-18,CUST-0141,Noise-Cancelling Headphones,Electronics,1,250.0,West,Small Business,PayPal,250.0
TX-10676,2025-01-15,CUST-0232,Standing Desk,Office Supplies,3,373.5,South,Small Business,PayPal,1120.5
TX-13934,2024-11-13,CUST-0210,4K Monitor,Electronics,3,350.0,South,Corporate,Cash,1050.0
TX-12751,2024-11-06,CUST-0351,Premium Notebook,Office Supplies,5,15.5,East,Corporate,Cash,77.5
TX-10931,2025-09-23,CUST-0185,Desk Mat,Accessories,3,23.75,North,Consumer,Credit Card,71.25
TX-13816,2025-02-06,CUST-0021,Desk Mat,Accessories,4,25.0,East,Consumer,Bank Transfer,100.0
TX-11606,2025-10-12,CUST-0010,USB-C Multi-Hub,Accessories,2,39.99,South,Small Business,Credit Card,79.98
TX-10151,2024-05-05,CUST-0127,Pro Laptop,Electronics,1,1200.0,South,Consumer,Bank Transfer,1200.0
TX-13589,2024-04-12,CUST-0089,Noise-Cancelling Headphones,Electronics,5,250.0,South,Corporate,Credit Card,1250.0
TX-13898,2024-11-06,CUST-0358,Ergonomic Chair,Office Supplies,7,299.99,East,Corporate,Credit Card,2099.9300000000003
TX-12413,2024-09-16,CUST-0186,Ergonomic Chair,Office Supplies,1,299.99,North,Small Business,Cash,299.99
TX-10227,2025-09-26,CUST-0270,Premium Notebook,Office Supplies,3,12.56,West,Small Business,Cash,37.68
TX-11539,2024-01-01,CUST-0166,Pro Laptop,Electronics,2,1200.0,East,Small Business,Cash,2400.0
TX-11744,2025-07-14,CUST-0332,Gel Pens 12-Pack,Office Supplies,3,12.99,South,Consumer,PayPal,38.97
TX-14264,2025-03-19,CUST-0167,USB-C Multi-Hub,Accessories,1,32.79,North,Small Business,Credit Card,32.79
TX-12312,2024-05-12,CUST-0022,4K Monitor,Electronics,1,315.0,West,Small Business,Cash,315.0
TX-11616,2024-12-26,CUST-0215,USB-C Multi-Hub,Accessories,3,39.99,East,Consumer,Bank Transfer,119.97
TX-12103,2025-11-15,CUST-0295,Mechanical Keyboard,Accessories,4,94.99,West,Small Business,Credit Card,379.96
TX-11406,2025-11-03,CUST-0022,Standing Desk,Office Supplies,4,450.0,West,Small Business,Cash,1800.0
TX-14934,2025-12-06,CUST-0055,Gel Pens 12-Pack,Office Supplies,6,12.99,West,Corporate,PayPal,77.94
TX-10501,2025-06-10,CUST-0330,Standing Desk,Office Supplies,4,387.0,North,Corporate,PayPal,1548.0
TX-10670,2025-08-05,CUST-0316,Premium Tablet,Electronics,5,600.0,North,Corporate,Bank Transfer,3000.0
TX-11835,2024-05-13,CUST-0320,4K Monitor,Electronics,1,350.0,South,Consumer,Bank Transfer,350.0
TX-13634,2025-07-18,CUST-0287,Pro Laptop,Electronics,1,1200.0,East,Small Business,Bank Transfer,1200.0
TX-12015,2024-06-18,CUST-0345,Ergonomic Chair,Office Supplies,1,299.99,South,Small Business,Cash,299.99
TX-10848,2024-02-03,CUST-0338,Standing Desk,Office Supplies,4,378.0,East,Consumer,Cash,1512.0
TX-10584,2024-05-17,CUST-0129,Smartwatch,Electronics,4,200.0,West,Consumer,Bank Transfer,800.0
TX-10248,2025-02-06,CUST-0187,4K Monitor,Electronics,2,350.0,South,Small Business,PayPal,700.0
TX-11052,2024-02-09,CUST-0280,Noise-Cancelling Headphones,Electronics,2,250.0,South,Small Business,Bank Transfer,500.0
TX-12313,2025-06-25,CUST-0390,Standing Desk,Office Supplies,2,387.0,South,Small Business,PayPal,774.0
TX-14275,2025-03-11,CUST-0089,Premium Tablet,Electronics,9,600.0,South,Corporate,Cash,5400.0
TX-12072,2025-11-11,CUST-0071,USB-C Multi-Hub,Accessories,8,39.99,South,Corporate,PayPal,319.92
TX-11629,2025-07-04,CUST-0062,Laptop Sleeve,Accessories,10,29.99,North,Corporate,Credit Card,299.9
TX-10100,2025-03-09,CUST-0010,Premium Notebook,Office Supplies,2,15.5,South,Small Business,PayPal,31.0
TX-12845,2024-04-05,CUST-0332,Ergonomic Chair,Office Supplies,2,242.99,South,Consumer,Bank Transfer,485.98
TX-10642,2025-08-08,CUST-0305,Laptop Sleeve,Accessories,1,29.99,North,Consumer,Credit Card,29.99
TX-14119,2025-07-26,CUST-0239,Premium Tablet,Electronics,3,600.0,South,Small Business,Credit Card,1800.0
TX-14066,2024-01-25,CUST-0088,Noise-Cancelling Headphones,Electronics,3,200.0,West,Small Business,Bank Transfer,600.0
