Transaction_ID,Date,Customer_ID,Product_Name,Category,Quantity,Unit_Price,Region,Customer_Segment,Payment_Method
TX-10373,2024-01-13,CUST-0320,Laptop Sleeve, accessories,4.0,29.99,south,Consumer,Credit Card
TX-13566,2024-06-18,CUST-0376,Pro Laptop,Electronics ,4.0,1200.0,south,Consumer,PayPal
TX-12172,2024-03-19,CUST-0160,Wireless Mouse, accessories,1.0,45.49,south,Small Business,Bank Transfer
TX-11864,2024-12-15,CUST-0066,Whiteboard,Office Supplies,4.0,71.19, North ,Small Business,Credit Card
TX-11181,2024-07-06,CUST-0182,Whiteboard,Office Supplies,3.0,79.99,East,Consumer,Bank Transfer
TX-13225,2025-02-25,CUST-0032,Pro Laptop,Electronics ,7.0,1200.0,,Corporate,Credit Card
TX-11721,2025-12-11,CUST-0272,Noise-Cancelling Headphones,Electronics ,4.0,250.0,West,Corporate,Credit Card
TX-10486,2025-10-18,CUST-0069,USB-C Multi-Hub, accessories,4.0,39.99,East,Consumer,Cash
TX-13290,2025-03-01,CUST-0236,4K Monitor,Electronics ,4.0,350.0,south,Consumer,Cash
TX-10065,2024-08-21,CUST-0212,Gel Pens 12-Pack,Office Supplies,8.0,12.99, North ,Corporate,Cash
TX-11209,2024-07-15,CUST-0075,Ergonomic Chair,Office Supplies,2.0,299.99, North ,Small Business,Credit Card
TX-10168,2025-07-28,CUST-0167,Desk Mat, accessories,4.0,25.0, North ,Small Business,Bank Transfer
TX-14533,2024-02-16,CUST-0108,Pro Laptop,Electronics ,4.0,984.0,,Corporate,PayPal
TX-14109,2025-02-10,CUST-0203,Wireless Mouse, accessories,2.0,43.49,south,Small Business,PayPal
TX-12825,2024-10-13,CUST-0254,Laptop Sleeve, accessories,3.0,29.99, North ,Consumer,Credit Card
TX-10746,2025-04-05,CUST-0009,Noise-Cancelling Headphones,Electronics ,1.0,250.0, North ,Small Business,Bank Transfer
TX-13154,2025-09-14,CUST-0081,Mechanical Keyboard, accessories,4.0,99.99, North ,Consumer,Bank Transfer
TX-10977,2024-01-29,CUST-0074,4K Monitor,Electronics ,4.0,350.0,south,Small Business,Credit Card
TX-10296,2025-03-29,CUST-0045,Premium Tablet,Electronics ,3.0,600.0,East,Corporate,Cash
TX-13903,2024-02-15,CUST-0117,Premium Tablet,Electronics ,3.0,600.0,East,Consumer,Cash
TX-10731,2024-05-02,CUST-0045,Mechanical Keyboard, accessories,8.0,99.99,,Corporate,PayPal
TX-14310,2024-09-15,CUST-0336,Premium Tablet,Electronics ,7.0,600.0, North ,Corporate,Bank Transfer
TX-14883,2025-05-22,,Smartwatch,Electronics ,1.0,200.0,East,Consumer,Cash
TX-11699,2024-06-10,CUST-0215,Premium Tablet,Electronics ,2.0,600.0,East,Consumer,PayPal
TX-11872,2024-10-06,CUST-0161,Laptop Sleeve, accessories,2.0,29.99,East,Consumer,PayPal
TX-11101,2024-05-08,CUST-0047,4K Monitor,Electronics ,2.0,350.0,south,Small Business,PayPal
TX-14746,2024-10-10,CUST-0252,Gel Pens 12-Pack,Office Supplies,1.0,12.08,East,Consumer,Credit Card
TX-10079,2025-09-05,CUST-0029,Premium Tablet,Electronics ,6.0,600.0,south,Corporate,PayPal
TX-11038,2024-04-13,CUST-0347,Smartwatch,Electronics ,3.0,200.0,West,Corporate,Bank Transfer
TX-12826,2024-06-12,CUST-0139,Standing Desk,Office Supplies,1.0,450.0,East,Consumer,Credit Card
TX-13656,2024-12-15,CUST-0121,Laptop Sleeve, accessories,1.0,29.99,West,Consumer,PayPal
TX-13260,2025-09-02,CUST-0019,Pro Laptop,Electronics ,4.0,1200.0,West,Consumer,PayPal
TX-11197,2024-01-08,CUST-0080,USB-C Multi-Hub, accessories,5.0,39.99,East,Corporate,Cash
TX-11200,2024-05-16,CUST-0203,Premium Notebook,Office Supplies,1.0,15.5,south,Small Business,PayPal
TX-10106,2025-04-25,CUST-0100,Whiteboard,Office Supplies,4.0,79.99, North ,Small Business,Cash
TX-13738,2025-04-17,CUST-0376,Desk Mat, accessories,4.0,25.0,south,Consumer,Cash
TX-11832,2024-09-15,CUST-0144,Wireless Mouse, accessories,4.0,49.99, North ,Small Business,Bank Transfer
TX-11094,2025-09-23,CUST-0389,Noise-Cancelling Headphones,Electronics ,2.0,250.0,East,Small Business,Cash
TX-14476,2025-03-17,CUST-0025,Wireless Mouse, accessories,1.0,49.99,East,Small Business,Credit Card
TX-13235,2025-09-17,CUST-0009,Standing Desk,Office Supplies,3.0,423.0, North ,Small Business,PayPal
TX-11272,2025-05-30,CUST-0052,Mechanical Keyboard, accessories,1.0,99.99,south,Small Business,Cash
TX-11020,2024-12-14,CUST-0267,Pro Laptop,Electronics ,4.0,1200.0,West,Consumer,Credit Card
TX-11330,2024-04-15,CUST-0299,USB-C Multi-Hub, accessories,4.0,39.99, North ,Corporate,PayPal
TX-12484,2024-08-21,CUST-0196,USB-C Multi-Hub, accessories,4.0,39.99,West,Small Business,PayPal
TX-14655,2025-12-03,CUST-0122,Mechanical Keyboard, accessories,8.0,99.99,East,Corporate,PayPal
TX-10751,2025-09-22,CUST-0113,Premium Tablet,Electronics ,4.0,600.0,West,Small Business,Bank Transfer
TX-13658,2024-03-12,CUST-0308,Mechanical Keyboard, accessories,7.0,99.99, North ,Corporate,Credit Card
TX-12341,2025-11-18,CUST-0398,4K Monitor,Electronics ,8.0,350.0, North ,Corporate,PayPal
TX-14635,2024-07-03,CUST-0190,Ergonomic Chair,Office Supplies,2.0,299.99,south,Consumer,PayPal
TX-11335,2025-01-15,CUST-0075,Ergonomic Chair,Office Supplies,1.0,299.99, North ,Small Business,Bank Transfer
TX-11421,2025-07-26,CUST-0035,Gel Pens 12-Pack,Office Supplies,4.0,12.99,south,Small Business,Credit Card
TX-11427,2024-12-03,CUST-0340,Premium Tablet,Electronics ,9.0,600.0,West,Corporate,Credit Card
TX-13317,2024-07-08,CUST-0100,Premium Tablet,Electronics ,4.0,600.0, North ,Small Business,Bank Transfer
TX-11041,2025-03-15,CUST-0126,4K Monitor,Electronics ,2.0,350.0, North ,Consumer,Bank Transfer
TX-11503,2024-09-24,CUST-0346,Gel Pens 12-Pack,Office Supplies,4.0,12.99,East,Small Business,Cash
TX-10856,2025-12-13,CUST-0163,Whiteboard,Office Supplies,8.0,79.99,south,Corporate,Bank Transfer
TX-13922,2024-12-18,,Gel Pens 12-Pack,Office Supplies,4.0,12.99,south,Small Business,Bank Transfer
TX-10485,03/14/2025,CUST-0087,Noise-Cancelling Headphones,Electronics ,2.0,250.0,south,Consumer,PayPal
TX-13938,2024-05-30,CUST-0349,Pro Laptop,Electronics ,3.0,1200.0,East,Corporate,Cash
TX-11174,2024-12-07,CUST-0116,Ergonomic Chair,Office Supplies,1.0,299.99,West,Small Business,Cash
TX-11362,2025-02-16,CUST-0142,Laptop Sleeve, accessories,4.0,28.19,south,Consumer,Cash
TX-14684,2025-02-24,CUST-0364,Premium Tablet,Electronics ,4.0,600.0,south,Small Business,Credit Card
TX-13886,2024-05-25,CUST-0238,Smartwatch,Electronics ,3.0,180.0,West,Small Business,PayPal
TX-12575,2025-11-27,CUST-0348,Ergonomic Chair,Office Supplies,1.0,242.99,West,Small Business,Cash
TX-14272,2024-09-06,CUST-0077,4K Monitor,Electronics ,4.0,350.0,,Consumer,Cash
TX-10029,2025-05-14,CUST-0278,4K Monitor,Electronics ,1.0,350.0,East,Consumer,PayPal
TX-12698,2025-11-05,CUST-0073,Desk Mat, accessories,2.0,23.0,East,Small Business,PayPal
TX-14232,2025-04-13,CUST-0337,Noise-Cancelling Headphones,Electronics ,3.0,250.0,,Small Business,Cash
TX-14005,2025-12-02,CUST-0216,Wireless Mouse, accessories,7.0,49.99, North ,Corporate,Credit Card
TX-11305,2024-04-16,CUST-0046,Wireless Mouse, accessories,4.0,49.99,East,Consumer,Credit Card
TX-10530,2025-08-11,CUST-0129,Desk Mat, accessories,4.0,25.0,West,Consumer,Cash
TX-11684,2024-09-22,CUST-0300,USB-C Multi-Hub, accessories,4.0,39.99,East,Small Business,PayPal
TX-10240,2025-07-22,CUST-0263,Ergonomic Chair,Office Supplies,1.0,299.99,West,Consumer,Credit Card
TX-14284,2024-07-31,CUST-0096,Mechanical Keyboard, accessories,3.0,99.99, North ,Corporate,PayPal
TX-12672,2025-05-11,CUST-0019,Mechanical Keyboard, accessories,2.0,79.99,West,Consumer,Bank Transfer
TX-12088,2025-08-17,CUST-0344,Premium Tablet,Electronics ,2.0,600.0,south,Corporate,PayPal
TX-10157,2025-07-29,CUST-0100,Whiteboard,Office Supplies,3.0,79.99, North ,Small Business,Credit Card
TX-10691,2025-11-12,CUST-0167,Gel Pens 12-Pack,Office Supplies,,12.99, North ,Small Business,Credit Card
TX-10297,2025-03-15,CUST-0072,Noise-Cancelling Headphones,Electronics ,1.0,250.0, North ,Small Business,PayPal
TX-12440,2025-07-17,CUST-0329,Premium Tablet,Electronics ,3.0,600.0,East,Consumer,Bank Transfer
TX-12990,2024-10-02,CUST-0047,4K Monitor,Electronics ,1.0,350.0,south,Small Business,Cash
TX-13479,2025-11-01,CUST-0245,Gel Pens 12-Pack,Office Supplies,7.0,12.99,West,Corporate,Bank Transfer
TX-11952,2025-06-17,CUST-0148,Ergonomic Chair,Office Supplies,4.0,299.99,south,Small Business,Credit Card
TX-13187,2025-09-15,CUST-0319,Premium Tablet,Electronics ,2.0,504.0, North ,Consumer,Credit Card
TX-14892,2025-09-09,CUST-0223,Pro Laptop,Electronics ,8.0,1200.0,south,Corporate,Credit Card
TX-10023,2025-07-19,CUST-0194,Premium Notebook,Office Supplies,2.0,15.5,south,Small Business,PayPal
TX-14915,2024-07-04,CUST-0003,Laptop Sleeve, accessories,2.0,29.99,south,Consumer,Credit Card
TX-13350,2025-08-15,CUST-0325,Smartwatch,Electronics ,6.0,200.0,south,Corporate,Bank Transfer
TX-13758,2025-01-29,CUST-0097,Standing Desk,Office Supplies,2.0,450.0, North ,Small Business,Bank Transfer
TX-12509,2024-06-09,CUST-0005,Premium Tablet,Electronics ,3.0,552.0, North ,Small Business,Credit Card
TX-14279,2024-02-12,CUST-0391,Mechanical Keyboard, accessories,3.0,99.99,West,Consumer,Bank Transfer
TX-13662,2024-04-06,CUST-0112,4K Monitor,Electronics ,5.0,350.0,West,Corporate,Credit Card
TX-12034,2025-12-06,CUST-0174,Mechanical Keyboard, accessories,4.0,99.99,south,Small Business,Cash
TX-14204,2025-12-12,CUST-0176,Noise-Cancelling Headphones,Electronics ,4.0,250.0,East,Small Business,PayPal
TX-11095,2025-09-26,CUST-0041,Premium Tablet,Electronics ,3.0,600.0,East,Small Business,Cash
TX-12867,2025-10-04,CUST-0254,Smartwatch,Electronics ,4.0,200.0, North ,Consumer,Credit Card
TX-10228,2025-04-15,CUST-0290,Premium Tablet,Electronics ,6.0,600.0,West,Corporate,Credit Card
TX-10239,2024-11-11,CUST-0390,Ergonomic Chair,Office Supplies,2.0,263.99,south,Small Business,Credit Card
TX-13017,2025-03-30,CUST-0210,Ergonomic Chair,Office Supplies,6.0,299.99,south,Corporate,Bank Transfer
TX-13982,2024-09-09,CUST-0011,Standing Desk,Office Supplies,3.0,450.0,West,Consumer,Bank Transfer
TX-14159,2024-05-29,CUST-0263,Whiteboard,Office Supplies,4.0,79.99,West,Consumer,Credit Card
TX-10179,2024-06-28,CUST-0214,Pro Laptop,Electronics ,4.0,1008.0,West,Small Business,Cash
TX-13997,2024-01-01,CUST-0235,Ergonomic Chair,Office Supplies,3.0,299.99,East,Small Business,Credit Card
TX-12404,2024-03-09,CUST-0054,Premium Tablet,Electronics ,3.0,486.0,West,Small Business,Credit Card
TX-12860,2024-02-10,CUST-0061,4K Monitor,Electronics ,4.0,350.0,West,Small Business,Bank Transfer
TX-11718,2024-10-29,CUST-0158,Gel Pens 12-Pack,Office Supplies,10.0,12.99, North ,Corporate,Credit Card
TX-14280,2025-02-24,CUST-0267,Mechanical Keyboard, accessories,4.0,99.99,West,Consumer,Cash
TX-11770,2024-07-07,CUST-0103,Noise-Cancelling Headphones,Electronics ,1.0,250.0,East,Consumer,Bank Transfer
TX-12104,2025-12-07,CUST-0175,Smartwatch,Electronics ,2.0,180.0,East,Consumer,PayPal
TX-14662,2024-07-17,CUST-0393,Mechanical Keyboard, accessories,9.0,99.99,East,Corporate,Cash
TX-14924,2024-12-01,CUST-0320,Desk Mat, accessories,3.0,25.0,south,Consumer,Credit Card
TX-10711,2025-07-13,CUST-0018,4K Monitor,Electronics ,,308.0, North ,Consumer,Bank Transfer
TX-12133,2025-07-13,CUST-0390,Gel Pens 12-Pack,Office Supplies,2.0,12.99,south,Small Business,Bank Transfer
TX-12957,2024-02-29,CUST-0378,Whiteboard,Office Supplies,4.0,79.99, North ,Small Business,Cash
TX-10333,2025-10-23,CUST-0066,Noise-Cancelling Headphones,Electronics ,1.0,250.0, North ,Small Business,Credit Card
TX-10896,2024-08-29,CUST-0317,Standing Desk,Office Supplies,3.0,396.0,south,Small Business,Cash
TX-14153,2024-04-21,CUST-0338,Premium Tablet,Electronics ,1.0,600.0,East,Consumer,PayPal
TX-14283,2024-10-31,CUST-0143,USB-C Multi-Hub, accessories,4.0,39.99, North ,Consumer,Cash
TX-13815,2024-09-24,CUST-0140,Ergonomic Chair,Office Supplies,3.0,299.99, North ,Small Business,PayPal
TX-12395,2025-10-28,CUST-0070,Whiteboard,Office Supplies,6.0,64.79,East,Corporate,PayPal
TX-13992,2024-08-16,CUST-0374,USB-C Multi-Hub, accessories,6.0,39.99,West,Corporate,Credit Card
TX-13595,2024-09-11,CUST-0224,USB-C Multi-Hub, accessories,2.0,39.99, North ,Small Business,Credit Card
TX-13038,2024-06-26,CUST-0102,Desk Mat, accessories,3.0,25.0, North ,Consumer,Credit Card
TX-14326,2025-05-22,CUST-0233,Standing Desk,Office Supplies,7.0,423.0,West,Corporate,Cash
TX-10705,2025-02-19,CUST-0196,Whiteboard,Office Supplies,2.0,79.99,West,Small Business,PayPal
TX-11374,2025-04-14,CUST-0007,Premium Notebook,Office Supplies,3.0,13.17, North ,Consumer,Cash
TX-12309,2024-05-28,CUST-0204,Premium Tablet,Electronics ,4.0,600.0, North ,Corporate,Credit Card
TX-13963,2025-12-16,CUST-0117,Gel Pens 12-Pack,Office Supplies,2.0,12.99,East,Consumer,Bank Transfer
TX-14418,12/08/2025,CUST-0251,Laptop Sleeve, accessories,2.0,29.99,south,Small Business,Cash
TX-12881,2024-08-15,CUST-0177,Ergonomic Chair,Office Supplies,2.0,257.99,West,Corporate,Bank Transfer
TX-11533,2025-08-31,CUST-0180,Laptop Sleeve, accessories,2.0,29.99, North ,Consumer,Bank Transfer
TX-13245,2025-01-25,CUST-0175,USB-C Multi-Hub, accessories,4.0,39.99,East,Consumer,Credit Card
TX-12649,2024-10-14,CUST-0299,Premium Tablet,Electronics ,3.0,600.0, North ,Corporate,Cash
TX-13065,2024-08-31,CUST-0155,Laptop Sleeve, accessories,1.0,29.99,south,Small Business,Credit Card
TX-10829,2024-10-11,CUST-0179,Standing Desk,Office Supplies,10.0,450.0,West,Corporate,PayPal
TX-13574,2024-12-27,CUST-0141,Smartwatch,Electronics ,3.0,200.0,West,Small Business,PayPal
TX-11451,2024-10-07,CUST-0395,USB-C Multi-Hub, accessories,3.0,36.39,East,Consumer,Cash
TX-13803,2024-03-24,CUST-0166,Premium Notebook,Office Supplies,2.0,15.5,East,Small Business,Cash
TX-12236,2024-12-04,CUST-0310,Mechanical Keyboard, accessories,10.0,99.99,south,Corporate,Cash
TX-14897,2024-06-07,CUST-0236,Laptop Sleeve, accessories,3.0,29.99,south,Consumer,PayPal
TX-10279,2024-06-21,CUST-0166,USB-C Multi-Hub, accessories,3.0,39.99,East,Small Business,Bank Transfer
TX-13499,2024-10-12,CUST-0251,Pro Laptop,Electronics ,3.0,1200.0,south,Small Business,Cash
TX-11617,2025-11-11,CUST-0325,USB-C Multi-Hub, accessories,10.0,39.99,south,Corporate,Cash
TX-11859,2024-06-11,CUST-0156,USB-C Multi-Hub, accessories,5.0,39.99,East,Corporate,PayPal
TX-14890,2025-01-23,CUST-0011,Wireless Mouse, accessories,2.0,40.99,West,Consumer,Credit Card
TX-12254,2025-08-26,CUST-0114,Mechanical Keyboard, accessories,3.0,81.99, North ,Small Business,Bank Transfer
TX-10893,05/21/2025,CUST-0061,Premium Tablet,Electronics ,2.0,600.0,West,Small Business,Bank Transfer
TX-12638,2025-08-22,CUST-0068,Pro Laptop,Electronics ,2.0,1092.0,East,Small Business,Credit Card
TX-10655,2025-07-10,,Desk Mat, accessories,2.0,25.0,south,Consumer,PayPal
TX-14687,2024-05-09,CUST-0309,4K Monitor,Electronics ,6.0,350.0,West,Corporate,Bank Transfer
TX-14614,2025-09-06,CUST-0085,Noise-Cancelling Headphones,Electronics ,4.0,250.0, North ,Consumer,Bank Transfer
TX-10228,2025-04-15,CUST-0290,Premium Tablet,Electronics ,,600.0,West,Corporate,Credit Card
TX-14618,2025-06-28,CUST-0020,Desk Mat, accessories,10.0,25.0,East,Corporate,PayPal
TX-11129,2024-09-11,CUST-0189,Whiteboard,Office Supplies,9.0,79.99,south,Corporate,Cash
TX-12073,2025-02-25,CUST-0039,USB-C Multi-Hub, accessories,1.0,39.99,south,Consumer,Cash
TX-14347,2024-04-23,CUST-0384,Premium Notebook,Office Supplies,3.0,15.5,south,Corporate,Bank Transfer
TX-10491,2024-08-16,CUST-0396,USB-C Multi-Hub, accessories,4.0,39.99, North ,Corporate,Cash
TX-11732,2025-12-09,CUST-0250,Standing Desk,Office Supplies,1.0,450.0,,Consumer,Credit Card
TX-11215,2025-01-05,CUST-0302,Laptop Sleeve, accessories,7.0,29.99,south,Corporate,PayPal
TX-12834,2025-10-30,CUST-0399,Pro Laptop,Electronics ,3.0,1200.0,West,Consumer,PayPal
TX-11268,2025-07-08,CUST-0055,Premium Tablet,Electronics ,2.0,552.0,West,Corporate,Bank Transfer
TX-14791,2024-08-29,CUST-0149,4K Monitor,Electronics ,3.0,350.0, North ,Small Business,Credit Card
TX-11534,2024-07-16,CUST-0141,Gel Pens 12-Pack,Office Supplies,,12.99,West,Small Business,Bank Transfer
TX-14688,2025-11-01,CUST-0298,Premium Notebook,Office Supplies,2.0,15.5,West,Corporate,Bank Transfer
TX-14984,2024-12-02,CUST-0204,Whiteboard,Office Supplies,8.0,79.99, North ,Corporate,PayPal
TX-14305,2025-11-30,CUST-0047,Noise-Cancelling Headphones,Electronics ,3.0,250.0,south,Small Business,Credit Card
TX-10653,2025-04-01,CUST-0148,Mechanical Keyboard, accessories,1.0,99.99,south,Small Business,PayPal
TX-10994,2025-05-31,CUST-0059,Ergonomic Chair,Office Supplies,3.0,299.99,south,Small Business,Cash
TX-11018,2024-03-05,CUST-0321,Wireless Mouse, accessories,1.0,49.99, North ,Small Business,Cash
TX-14590,2024-02-24,CUST-0389,USB-C Multi-Hub, accessories,1.0,39.99,East,Small Business,Credit Card
TX-10555,2024-10-25,CUST-0310,Desk Mat, accessories,6.0,25.0,south,Corporate,Cash
TX-10008,2024-10-05,CUST-0042,Wireless Mouse, accessories,4.0,49.99,south,Small Business,Bank Transfer
TX-11090,2025-02-24,CUST-0155,Desk Mat, accessories,1.0,25.0,south,Small Business,PayPal
TX-13475,2024-10-25,CUST-0244,Whiteboard,Office Supplies,2.0,79.99,East,Corporate,Credit Card
TX-13321,2025-03-10,CUST-0128,4K Monitor,Electronics ,4.0,325.5,West,Corporate,PayPal
TX-14226,2025-04-07,CUST-0384,Premium Notebook,Office Supplies,4.0,13.17,south,Corporate,Bank Transfer
TX-13043,2025-06-01,CUST-0268,Premium Notebook,Office Supplies,2.0,13.02,West,Small Business,Cash
TX-11371,2025-04-28,CUST-0057,Pro Laptop,Electronics ,3.0,1200.0,West,Consumer,PayPal
TX-10144,2025-07-18,CUST-0141,Noise-Cancelling Headphones,Electronics ,1.0,250.0,West,Small Business,PayPal
TX-10676,2025-01-15,CUST-0232,Standing Desk,Office Supplies,3.0,373.5,,Small Business,PayPal
TX-13934,2024-11-13,CUST-0210,4K Monitor,Electronics ,3.0,350.0,south,Corporate,Cash
TX-12751,2024-11-06,CUST-0351,Premium Notebook,Office Supplies,5.0,15.5,East,Corporate,Cash
TX-10931,2025-09-23,CUST-0185,Desk Mat, accessories,3.0,23.75, North ,Consumer,Credit Card
TX-13816,2025-02-06,CUST-0021,Desk Mat, accessories,4.0,25.0,East,Consumer,Bank Transfer
TX-11606,2025-10-12,CUST-0010,USB-C Multi-Hub, accessories,2.0,39.99,south,Small Business,Credit Card
TX-10151,2024-05-05,CUST-0127,Pro Laptop,Electronics ,1.0,1200.0,south,Consumer,Bank Transfer
TX-13589,2024-04-12,CUST-0089,Noise-Cancelling Headphones,Electronics ,5.0,250.0,south,Corporate,Credit Card
TX-13898,2024-11-06,CUST-0358,Ergonomic Chair,Office Supplies,7.0,299.99,East,Corporate,Credit Card
TX-12413,2024-09-16,CUST-0186,Ergonomic Chair,Office Supplies,1.0,299.99, North ,Small Business,Cash
TX-10227,2025-09-26,CUST-0270,Premium Notebook,Office Supplies,3.0,12.56,West,Small Business,Cash
TX-11539,2024-01-01,CUST-0166,Pro Laptop,Electronics ,2.0,1200.0,East,Small Business,Cash
TX-11744,2025-07-14,CUST-0332,Gel Pens 12-Pack,Office Supplies,3.0,12.99,,Consumer,PayPal
TX-14264,2025-03-19,CUST-0167,USB-C Multi-Hub, accessories,1.0,32.79, North ,Small Business,Credit Card
TX-12312,2024-05-12,CUST-0022,4K Monitor,Electronics ,1.0,315.0,West,Small Business,Cash
TX-11616,2024-12-26,CUST-0215,USB-C Multi-Hub, accessories,3.0,39.99,East,Consumer,Bank Transfer
TX-12103,2025-11-15,CUST-0295,Mechanical Keyboard, accessories,4.0,94.99,West,Small Business,Credit Card
TX-11406,2025-11-03,CUST-0022,Standing Desk,Office Supplies,4.0,450.0,West,Small Business,Cash
TX-14934,2025-12-06,CUST-0055,Gel Pens 12-Pack,Office Supplies,6.0,12.99,West,Corporate,PayPal
TX-10501,2025-06-10,CUST-0330,Standing Desk,Office Supplies,4.0,387.0, North ,Corporate,PayPal
TX-10670,2025-08-05,CUST-0316,Premium Tablet,Electronics ,5.0,600.0, North ,Corporate,Bank Transfer
TX-11835,2024-05-13,CUST-0320,4K Monitor,Electronics ,1.0,350.0,south,Consumer,Bank Transfer
TX-13634,2025-07-18,CUST-0287,Pro Laptop,Electronics ,1.0,1200.0,East,Small Business,Bank Transfer
TX-12015,2024-06-18,CUST-0345,Ergonomic Chair,Office Supplies,1.0,299.99,south,Small Business,Cash
TX-10848,2024-02-03,CUST-0338,Standing Desk,Office Supplies,4.0,378.0,East,Consumer,Cash
TX-10584,2024-05-17,CUST-0129,Smartwatch,Electronics ,4.0,200.0,West,Consumer,Bank Transfer
TX-10248,2025-02-06,CUST-0187,4K Monitor,Electronics ,2.0,350.0,south,Small Business,PayPal
TX-11052,2024-02-09,CUST-0280,Noise-Cancelling Headphones,Electronics ,2.0,250.0,,Small Business,Bank Transfer
TX-12313,2025-06-25,CUST-0390,Standing Desk,Office Supplies,2.0,387.0,south,Small Business,PayPal
TX-14275,2025-03-11,CUST-0089,Premium Tablet,Electronics ,9.0,600.0,south,Corporate,Cash
TX-12072,2025-11-11,CUST-0071,USB-C Multi-Hub, accessories,8.0,39.99,south,Corporate,PayPal
TX-11629,2025-07-04,CUST-0062,Laptop Sleeve, accessories,10.0,29.99, North ,Corporate,Credit Card
TX-10100,2025-03-09,CUST-0010,Premium Notebook,Office Supplies,2.0,15.5,south,Small Business,PayPal
TX-12845,2024-04-05,CUST-0332,Ergonomic Chair,Office Supplies,2.0,242.99,south,Consumer,Bank Transfer
TX-10642,2025-08-08,CUST-0305,Laptop Sleeve, accessories,1.0,29.99, North ,Consumer,Credit Card
TX-14119,2025-07-26,CUST-0239,Premium Tablet,Electronics ,,600.0,south,Small Business,Credit Card
TX-14066,2024-01-25,CUST-0088,Noise-Cancelling Headphones,Electronics ,3.0,200.0,West,Small Business,Bank Transfer
TX-14020,2025-07-24,CUST-0247,4K Monitor,Electronics ,2.0,318.5,West,Small Business,Cash
TX-10561,2024-05-14,CUST-0270,Pro Laptop,Electronics ,1.0,1200.0,West,Small Business,Bank Transfer
TX-11694,2024-01-17,CUST-0004,Gel Pens 12-Pack,Office Supplies,4.0,12.99, North ,Small Business,Credit Card
TX-11943,2025-05-04,CUST-0337,4K Monitor,Electronics ,4.0,350.0,West,Small Business,Credit Card
TX-14157,2025-08-08,CUST-0310,Desk Mat, accessories,4.0,20.25,south,Corporate,Cash
TX-12767,2024-06-27,CUST-0246,Desk Mat, accessories,2.0,25.0,south,Small Business,Credit Card
TX-11170,2024-06-16,CUST-0043,Gel Pens 12-Pack,Office Supplies,2.0,10.91,East,Consumer,PayPal
TX-14183,2024-10-30,CUST-0286,USB-C Multi-Hub, accessories,5.0,39.99,West,Corporate,Credit Card
TX-11173,2025-06-28,CUST-0281,Ergonomic Chair,Office Supplies,3.0,299.99, North ,Consumer,Credit Card
TX-13671,2024-11-11,CUST-0049,Wireless Mouse, accessories,6.0,49.99,West,Corporate,Bank Transfer
TX-11293,2025-03-14,CUST-0176,Standing Desk,Office Supplies,2.0,450.0,East,Small Business,Bank Transfer
